"isono","year","sexno","ageno","eduno","bmys"
4,1970,0,0,0,0
4,1970,1,0,0,0
4,1970,2,0,0,0
4,1975,0,0,0,0
4,1975,1,0,0,0
4,1975,2,0,0,0
4,1980,0,0,0,0
4,1980,1,0,0,0
4,1980,2,0,0,0
4,1985,0,0,0,0
4,1985,1,0,0,0
4,1985,2,0,0,0
4,1990,0,0,0,0
4,1990,1,0,0,0
4,1990,2,0,0,0
4,1995,0,0,0,0
4,1995,1,0,0,0
4,1995,2,0,0,0
4,2000,0,0,0,0
4,2000,1,0,0,0
4,2000,2,0,0,0
4,2005,0,0,0,0
4,2005,1,0,0,0
4,2005,2,0,0,0
4,2010,0,0,0,0
4,2010,1,0,0,0
4,2010,2,0,0,0
4,2015,0,0,0,0
4,2015,1,0,0,0
4,2015,2,0,0,0
4,2020,0,0,0,0
4,2020,1,0,0,0
4,2020,2,0,0,0
4,2025,0,0,0,0
4,2025,1,0,0,0
4,2025,2,0,0,0
4,2030,0,0,0,0
4,2030,1,0,0,0
4,2030,2,0,0,0
4,2035,0,0,0,0
4,2035,1,0,0,0
4,2035,2,0,0,0
4,2040,0,0,0,0
4,2040,1,0,0,0
4,2040,2,0,0,0
4,2045,0,0,0,0
4,2045,1,0,0,0
4,2045,2,0,0,0
4,2050,0,0,0,0
4,2050,1,0,0,0
4,2050,2,0,0,0
4,2055,0,0,0,0
4,2055,1,0,0,0
4,2055,2,0,0,0
4,2060,0,0,0,0
4,2060,1,0,0,0
4,2060,2,0,0,0
4,2065,0,0,0,0
4,2065,1,0,0,0
4,2065,2,0,0,0
4,2070,0,0,0,0
4,2070,1,0,0,0
4,2070,2,0,0,0
4,2075,0,0,0,0
4,2075,1,0,0,0
4,2075,2,0,0,0
4,2080,0,0,0,0
4,2080,1,0,0,0
4,2080,2,0,0,0
4,2085,0,0,0,0
4,2085,1,0,0,0
4,2085,2,0,0,0
4,2090,0,0,0,0
4,2090,1,0,0,0
4,2090,2,0,0,0
4,2095,0,0,0,0
4,2095,1,0,0,0
4,2095,2,0,0,0
4,2100,0,0,0,0
4,2100,1,0,0,0
4,2100,2,0,0,0
8,1970,0,0,0,3.1
8,1970,1,0,0,3.7
8,1970,2,0,0,2.5
8,1975,0,0,0,3.8
8,1975,1,0,0,4.3
8,1975,2,0,0,3.2
8,1980,0,0,0,4.5
8,1980,1,0,0,5.1
8,1980,2,0,0,3.9
8,1985,0,0,0,5.1
8,1985,1,0,0,5.5
8,1985,2,0,0,4.6
8,1990,0,0,0,5.5
8,1990,1,0,0,5.9
8,1990,2,0,0,5.1
8,1995,0,0,0,5.8
8,1995,1,0,0,6.1
8,1995,2,0,0,5.5
8,2000,0,0,0,6.3
8,2000,1,0,0,6.5
8,2000,2,0,0,6
8,2005,0,0,0,6.9
8,2005,1,0,0,7
8,2005,2,0,0,6.7
8,2010,0,0,0,7.5
8,2010,1,0,0,7.5
8,2010,2,0,0,7.4
8,2015,0,0,0,8.3
8,2015,1,0,0,8.3
8,2015,2,0,0,8.2
8,2020,0,0,0,8.9
8,2020,1,0,0,8.9
8,2020,2,0,0,8.9
8,2025,0,0,0,9.4
8,2025,1,0,0,9.4
8,2025,2,0,0,9.4
8,2030,0,0,0,9.8
8,2030,1,0,0,9.8
8,2030,2,0,0,9.8
8,2035,0,0,0,10.2
8,2035,1,0,0,10.1
8,2035,2,0,0,10.2
8,2040,0,0,0,10.5
8,2040,1,0,0,10.5
8,2040,2,0,0,10.5
8,2045,0,0,0,10.8
8,2045,1,0,0,10.8
8,2045,2,0,0,10.9
8,2050,0,0,0,11.1
8,2050,1,0,0,11.1
8,2050,2,0,0,11.2
8,2055,0,0,0,11.4
8,2055,1,0,0,11.3
8,2055,2,0,0,11.4
8,2060,0,0,0,11.6
8,2060,1,0,0,11.6
8,2060,2,0,0,11.7
8,2065,0,0,0,11.8
8,2065,1,0,0,11.8
8,2065,2,0,0,11.9
8,2070,0,0,0,12.1
8,2070,1,0,0,12
8,2070,2,0,0,12.1
8,2075,0,0,0,12.3
8,2075,1,0,0,12.2
8,2075,2,0,0,12.3
8,2080,0,0,0,12.4
8,2080,1,0,0,12.4
8,2080,2,0,0,12.5
8,2085,0,0,0,12.6
8,2085,1,0,0,12.6
8,2085,2,0,0,12.7
8,2090,0,0,0,12.8
8,2090,1,0,0,12.7
8,2090,2,0,0,12.8
8,2095,0,0,0,12.9
8,2095,1,0,0,12.8
8,2095,2,0,0,12.9
8,2100,0,0,0,13
8,2100,1,0,0,13
8,2100,2,0,0,13.1
12,1970,0,0,0,0.9
12,1970,1,0,0,1.3
12,1970,2,0,0,0.6
12,1975,0,0,0,1.3
12,1975,1,0,0,1.8
12,1975,2,0,0,0.9
12,1980,0,0,0,1.9
12,1980,1,0,0,2.4
12,1980,2,0,0,1.3
12,1985,0,0,0,2.5
12,1985,1,0,0,3.1
12,1985,2,0,0,1.9
12,1990,0,0,0,3.1
12,1990,1,0,0,3.8
12,1990,2,0,0,2.5
12,1995,0,0,0,3.9
12,1995,1,0,0,4.5
12,1995,2,0,0,3.2
12,2000,0,0,0,4.8
12,2000,1,0,0,5.4
12,2000,2,0,0,4.2
12,2005,0,0,0,5.6
12,2005,1,0,0,6.2
12,2005,2,0,0,5.1
12,2010,0,0,0,6.3
12,2010,1,0,0,6.8
12,2010,2,0,0,5.8
12,2015,0,0,0,7
12,2015,1,0,0,7.4
12,2015,2,0,0,6.6
12,2020,0,0,0,7.6
12,2020,1,0,0,7.9
12,2020,2,0,0,7.2
12,2025,0,0,0,8.2
12,2025,1,0,0,8.5
12,2025,2,0,0,7.9
12,2030,0,0,0,8.9
12,2030,1,0,0,9.1
12,2030,2,0,0,8.7
12,2035,0,0,0,9.5
12,2035,1,0,0,9.7
12,2035,2,0,0,9.3
12,2040,0,0,0,10
12,2040,1,0,0,10.1
12,2040,2,0,0,9.8
12,2045,0,0,0,10.4
12,2045,1,0,0,10.5
12,2045,2,0,0,10.3
12,2050,0,0,0,10.7
12,2050,1,0,0,10.8
12,2050,2,0,0,10.7
12,2055,0,0,0,11.1
12,2055,1,0,0,11.1
12,2055,2,0,0,11.1
12,2060,0,0,0,11.5
12,2060,1,0,0,11.5
12,2060,2,0,0,11.5
12,2065,0,0,0,11.8
12,2065,1,0,0,11.8
12,2065,2,0,0,11.9
12,2070,0,0,0,12.1
12,2070,1,0,0,12.1
12,2070,2,0,0,12.2
12,2075,0,0,0,12.4
12,2075,1,0,0,12.3
12,2075,2,0,0,12.5
12,2080,0,0,0,12.6
12,2080,1,0,0,12.5
12,2080,2,0,0,12.7
12,2085,0,0,0,12.8
12,2085,1,0,0,12.8
12,2085,2,0,0,12.9
12,2090,0,0,0,13
12,2090,1,0,0,12.9
12,2090,2,0,0,13.1
12,2095,0,0,0,13.2
12,2095,1,0,0,13.1
12,2095,2,0,0,13.3
12,2100,0,0,0,13.4
12,2100,1,0,0,13.3
12,2100,2,0,0,13.5
24,1970,0,0,0,0
24,1970,1,0,0,0
24,1970,2,0,0,0
24,1975,0,0,0,0
24,1975,1,0,0,0
24,1975,2,0,0,0
24,1980,0,0,0,0
24,1980,1,0,0,0
24,1980,2,0,0,0
24,1985,0,0,0,0
24,1985,1,0,0,0
24,1985,2,0,0,0
24,1990,0,0,0,0
24,1990,1,0,0,0
24,1990,2,0,0,0
24,1995,0,0,0,0
24,1995,1,0,0,0
24,1995,2,0,0,0
24,2000,0,0,0,0
24,2000,1,0,0,0
24,2000,2,0,0,0
24,2005,0,0,0,0
24,2005,1,0,0,0
24,2005,2,0,0,0
24,2010,0,0,0,0
24,2010,1,0,0,0
24,2010,2,0,0,0
24,2015,0,0,0,0
24,2015,1,0,0,0
24,2015,2,0,0,0
24,2020,0,0,0,0
24,2020,1,0,0,0
24,2020,2,0,0,0
24,2025,0,0,0,0
24,2025,1,0,0,0
24,2025,2,0,0,0
24,2030,0,0,0,0
24,2030,1,0,0,0
24,2030,2,0,0,0
24,2035,0,0,0,0
24,2035,1,0,0,0
24,2035,2,0,0,0
24,2040,0,0,0,0
24,2040,1,0,0,0
24,2040,2,0,0,0
24,2045,0,0,0,0
24,2045,1,0,0,0
24,2045,2,0,0,0
24,2050,0,0,0,0
24,2050,1,0,0,0
24,2050,2,0,0,0
24,2055,0,0,0,0
24,2055,1,0,0,0
24,2055,2,0,0,0
24,2060,0,0,0,0
24,2060,1,0,0,0
24,2060,2,0,0,0
24,2065,0,0,0,0
24,2065,1,0,0,0
24,2065,2,0,0,0
24,2070,0,0,0,0
24,2070,1,0,0,0
24,2070,2,0,0,0
24,2075,0,0,0,0
24,2075,1,0,0,0
24,2075,2,0,0,0
24,2080,0,0,0,0
24,2080,1,0,0,0
24,2080,2,0,0,0
24,2085,0,0,0,0
24,2085,1,0,0,0
24,2085,2,0,0,0
24,2090,0,0,0,0
24,2090,1,0,0,0
24,2090,2,0,0,0
24,2095,0,0,0,0
24,2095,1,0,0,0
24,2095,2,0,0,0
24,2100,0,0,0,0
24,2100,1,0,0,0
24,2100,2,0,0,0
31,1970,0,0,0,3
31,1970,1,0,0,3.6
31,1970,2,0,0,2.4
31,1975,0,0,0,3.7
31,1975,1,0,0,4.3
31,1975,2,0,0,3.2
31,1980,0,0,0,4.6
31,1980,1,0,0,5.1
31,1980,2,0,0,4.1
31,1985,0,0,0,5.2
31,1985,1,0,0,5.6
31,1985,2,0,0,4.8
31,1990,0,0,0,5.4
31,1990,1,0,0,5.7
31,1990,2,0,0,5
31,1995,0,0,0,5.7
31,1995,1,0,0,6
31,1995,2,0,0,5.5
31,2000,0,0,0,6.3
31,2000,1,0,0,6.5
31,2000,2,0,0,6.1
31,2005,0,0,0,7.3
31,2005,1,0,0,7.4
31,2005,2,0,0,7.1
31,2010,0,0,0,7.9
31,2010,1,0,0,8
31,2010,2,0,0,7.8
31,2015,0,0,0,8
31,2015,1,0,0,8.1
31,2015,2,0,0,8
31,2020,0,0,0,8.2
31,2020,1,0,0,8.2
31,2020,2,0,0,8.2
31,2025,0,0,0,8.7
31,2025,1,0,0,8.7
31,2025,2,0,0,8.7
