"isono","year","sexno","ageno","eduno","cbr"
4,1970,0,0,0,52.1
4,1975,0,0,0,51.5
4,1980,0,0,0,51.8
4,1985,0,0,0,52.2
4,1990,0,0,0,52.6
4,1995,0,0,0,52.4
4,2000,0,0,0,48.4
4,2005,0,0,0,45.1
8,1970,0,0,0,31.4
8,1975,0,0,0,28.3
8,1980,0,0,0,26.8
8,1985,0,0,0,25.4
8,1990,0,0,0,23.4
8,1995,0,0,0,19.2
8,2000,0,0,0,15
8,2005,0,0,0,12.9
12,1970,0,0,0,48
12,1975,0,0,0,45.4
12,1980,0,0,0,41.2
12,1985,0,0,0,34.8
12,1990,0,0,0,28.7
12,1995,0,0,0,21.6
12,2000,0,0,0,20.7
12,2005,0,0,0,20.8
24,1970,0,0,0,51.8
24,1975,0,0,0,52.4
24,1980,0,0,0,52.8
24,1985,0,0,0,52.8
24,1990,0,0,0,52.1
24,1995,0,0,0,51
24,2000,0,0,0,49
24,2005,0,0,0,43.5
31,1970,0,0,0,26.1
31,1975,0,0,0,25.1
31,1980,0,0,0,26
31,1985,0,0,0,26.5
31,1990,0,0,0,26.1
31,1995,0,0,0,18.9
31,2000,0,0,0,17.3
31,2005,0,0,0,19.5
32,1970,0,0,0,23.4
32,1975,0,0,0,25.6
32,1980,0,0,0,23.1
32,1985,0,0,0,22.1
32,1990,0,0,0,21.2
32,1995,0,0,0,19.7
32,2000,0,0,0,18
32,2005,0,0,0,17.5
36,1970,0,0,0,19.6
36,1975,0,0,0,16
36,1980,0,0,0,15.5
36,1985,0,0,0,15
36,1990,0,0,0,14.7
36,1995,0,0,0,13.4
36,2000,0,0,0,12.7
36,2005,0,0,0,13.6
40,1970,0,0,0,13.6
40,1975,0,0,0,11.6
40,1980,0,0,0,12
40,1985,0,0,0,11.4
40,1990,0,0,0,11.5
40,1995,0,0,0,10.2
40,2000,0,0,0,9.7
40,2005,0,0,0,9.1
44,1970,0,0,0,27.2
44,1975,0,0,0,24.9
44,1980,0,0,0,27.1
44,1985,0,0,0,24.1
44,1990,0,0,0,23.5
44,1995,0,0,0,20.1
44,2000,0,0,0,15.6
44,2005,0,0,0,15.7
48,1970,0,0,0,35.1
48,1975,0,0,0,33
48,1980,0,0,0,32.9
48,1985,0,0,0,31.3
48,1990,0,0,0,26.3
48,1995,0,0,0,23.1
48,2000,0,0,0,21.1
48,2005,0,0,0,20.7
50,1970,0,0,0,46.5
50,1975,0,0,0,44.7
50,1980,0,0,0,42.4
50,1985,0,0,0,38.1
50,1990,0,0,0,33.3
50,1995,0,0,0,29.1
50,2000,0,0,0,25.4
50,2005,0,0,0,21.5
51,1970,0,0,0,22.2
51,1975,0,0,0,22.6
51,1980,0,0,0,23.6
51,1985,0,0,0,22.6
51,1990,0,0,0,19.1
51,1995,0,0,0,13.5
51,2000,0,0,0,14.2
51,2005,0,0,0,15.2
52,1970,0,0,0,20.5
52,1975,0,0,0,18
52,1980,0,0,0,17.6
52,1985,0,0,0,16.5
52,1990,0,0,0,15.3
52,1995,0,0,0,12.9
52,2000,0,0,0,11
52,2005,0,0,0,10.9
56,1970,0,0,0,14
56,1975,0,0,0,12.5
56,1980,0,0,0,12.1
56,1985,0,0,0,11.7
56,1990,0,0,0,11.5
56,1995,0,0,0,11
56,2000,0,0,0,11.2
56,2005,0,0,0,11.5
64,1970,0,0,0,47
64,1975,0,0,0,45.8
64,1980,0,0,0,42.7
64,1985,0,0,0,40.4
64,1990,0,0,0,35.2
64,1995,0,0,0,29.2
64,2000,0,0,0,25.2
64,2005,0,0,0,21.5
68,1970,0,0,0,45.2
68,1975,0,0,0,40.9
68,1980,0,0,0,38.3
68,1985,0,0,0,36.8
68,1990,0,0,0,35.8
68,1995,0,0,0,32.6
68,2000,0,0,0,30.3
68,2005,0,0,0,27.4
70,1970,0,0,0,21.3
70,1975,0,0,0,19.6
70,1980,0,0,0,18.2
70,1985,0,0,0,17.1
70,1990,0,0,0,12.9
70,1995,0,0,0,12.4
70,2000,0,0,0,9.8
70,2005,0,0,0,8.9
72,1970,0,0,0,45.5
72,1975,0,0,0,45
72,1980,0,0,0,42.5
72,1985,0,0,0,37.2
72,1990,0,0,0,32.2
72,1995,0,0,0,28.6
72,2000,0,0,0,25.5
72,2005,0,0,0,24.2
76,1970,0,0,0,33.7
76,1975,0,0,0,32.5
76,1980,0,0,0,30.8
76,1985,0,0,0,26.3
76,1990,0,0,0,22.6
76,1995,0,0,0,21.5
76,2000,0,0,0,19.8
76,2005,0,0,0,16.4
84,1970,0,0,0,42.7
84,1975,0,0,0,43.6
84,1980,0,0,0,40.6
84,1985,0,0,0,38
84,1990,0,0,0,35.9
84,1995,0,0,0,31.7
84,2000,0,0,0,27.9
84,2005,0,0,0,25.2
90,1970,0,0,0,47.1
90,1975,0,0,0,45.5
90,1980,0,0,0,42.2
90,1985,0,0,0,41.1
90,1990,0,0,0,38.8
90,1995,0,0,0,36.2
90,2000,0,0,0,34.8
90,2005,0,0,0,33.3
96,1970,0,0,0,37.4
96,1975,0,0,0,34.4
96,1980,0,0,0,29.9
96,1985,0,0,0,29.8
96,1990,0,0,0,28.1
96,1995,0,0,0,23.9
96,2000,0,0,0,21.9
96,2005,0,0,0,20.1
