"isono","year","sexno","ageno","eduno","pmage"
4,2010,0,0,0,16.5
4,2015,0,0,0,15.7
4,2020,0,0,0,15
4,2025,0,0,0,14.1
4,2030,0,0,0,13.4
4,2035,0,0,0,13
4,2040,0,0,0,12.8
4,2045,0,0,0,13
4,2050,0,0,0,13.4
4,2055,0,0,0,14
4,2060,0,0,0,14.8
4,2065,0,0,0,15.8
4,2070,0,0,0,16.8
4,2075,0,0,0,17.8
4,2080,0,0,0,18.9
4,2085,0,0,0,19.9
4,2090,0,0,0,20.9
4,2095,0,0,0,22
8,2010,0,0,0,30
8,2015,0,0,0,31.6
8,2020,0,0,0,33.4
8,2025,0,0,0,35.2
8,2030,0,0,0,37
8,2035,0,0,0,38.6
8,2040,0,0,0,40.1
8,2045,0,0,0,41.5
8,2050,0,0,0,42.8
8,2055,0,0,0,43.8
8,2060,0,0,0,44.5
8,2065,0,0,0,44.8
8,2070,0,0,0,45
8,2075,0,0,0,45.1
8,2080,0,0,0,45.1
8,2085,0,0,0,45
8,2090,0,0,0,44.6
8,2095,0,0,0,44.1
12,2010,0,0,0,26.1
12,2015,0,0,0,27.5
12,2020,0,0,0,28.8
12,2025,0,0,0,30.1
12,2030,0,0,0,31.3
12,2035,0,0,0,32.1
12,2040,0,0,0,32.6
12,2045,0,0,0,33.3
12,2050,0,0,0,33.9
12,2055,0,0,0,34.6
12,2060,0,0,0,35.3
12,2065,0,0,0,35.9
12,2070,0,0,0,36.1
12,2075,0,0,0,36.1
12,2080,0,0,0,35.9
12,2085,0,0,0,35.9
12,2090,0,0,0,36
12,2095,0,0,0,36.2
24,2010,0,0,0,16.5
24,2015,0,0,0,16
24,2020,0,0,0,16.5
24,2025,0,0,0,16.7
24,2030,0,0,0,17.3
24,2035,0,0,0,17.9
24,2040,0,0,0,18.8
24,2045,0,0,0,19.9
24,2050,0,0,0,20.6
24,2055,0,0,0,21.4
24,2060,0,0,0,22.3
24,2065,0,0,0,23.2
24,2070,0,0,0,24.1
24,2075,0,0,0,24.9
24,2080,0,0,0,25.5
24,2085,0,0,0,26.1
24,2090,0,0,0,26.4
24,2095,0,0,0,26.8
31,2010,0,0,0,29.5
31,2015,0,0,0,30
31,2020,0,0,0,31.4
31,2025,0,0,0,33.2
31,2030,0,0,0,35.1
31,2035,0,0,0,36.3
31,2040,0,0,0,35.4
31,2045,0,0,0,34.6
31,2050,0,0,0,35.1
31,2055,0,0,0,36.3
31,2060,0,0,0,37.7
31,2065,0,0,0,38.7
31,2070,0,0,0,38.9
31,2075,0,0,0,38.4
31,2080,0,0,0,37.7
31,2085,0,0,0,37.4
31,2090,0,0,0,37.6
31,2095,0,0,0,37.9
32,2010,0,0,0,30.4
32,2015,0,0,0,30.8
32,2020,0,0,0,31.3
32,2025,0,0,0,31.9
32,2030,0,0,0,32.5
32,2035,0,0,0,33.1
32,2040,0,0,0,33.7
32,2045,0,0,0,34
32,2050,0,0,0,34.4
32,2055,0,0,0,34.7
32,2060,0,0,0,35
32,2065,0,0,0,35.3
32,2070,0,0,0,35.5
32,2075,0,0,0,35.7
32,2080,0,0,0,35.8
32,2085,0,0,0,35.9
32,2090,0,0,0,36.1
32,2095,0,0,0,36.1
36,2010,0,0,0,37
36,2015,0,0,0,36.3
36,2020,0,0,0,35.8
36,2025,0,0,0,35.8
36,2030,0,0,0,36.1
36,2035,0,0,0,36.3
36,2040,0,0,0,36.4
36,2045,0,0,0,36
36,2050,0,0,0,35.7
36,2055,0,0,0,35.5
36,2060,0,0,0,35.3
36,2065,0,0,0,35.3
36,2070,0,0,0,35.4
36,2075,0,0,0,35.6
36,2080,0,0,0,35.7
36,2085,0,0,0,35.8
36,2090,0,0,0,35.9
36,2095,0,0,0,36
40,2010,0,0,0,41.8
40,2015,0,0,0,42.5
40,2020,0,0,0,42.6
40,2025,0,0,0,42.6
40,2030,0,0,0,42.7
40,2035,0,0,0,42.9
40,2040,0,0,0,43
40,2045,0,0,0,43.2
40,2050,0,0,0,43.1
40,2055,0,0,0,42.6
40,2060,0,0,0,42
40,2065,0,0,0,41.4
40,2070,0,0,0,41
40,2075,0,0,0,40.8
40,2080,0,0,0,40.7
40,2085,0,0,0,40.6
40,2090,0,0,0,40.4
40,2095,0,0,0,40.1
44,2010,0,0,0,30.8
44,2015,0,0,0,32
44,2020,0,0,0,33.2
44,2025,0,0,0,34.3
44,2030,0,0,0,35.2
44,2035,0,0,0,36.2
44,2040,0,0,0,37.2
44,2045,0,0,0,37.3
44,2050,0,0,0,37.3
44,2055,0,0,0,37.3
44,2060,0,0,0,37.3
44,2065,0,0,0,37.3
44,2070,0,0,0,37.4
44,2075,0,0,0,37.6
44,2080,0,0,0,37.6
44,2085,0,0,0,37.6
44,2090,0,0,0,37.5
44,2095,0,0,0,37.5
48,2010,0,0,0,30.1
48,2015,0,0,0,31.2
48,2020,0,0,0,32.8
48,2025,0,0,0,34.2
48,2030,0,0,0,34.9
48,2035,0,0,0,34.7
48,2040,0,0,0,34.9
48,2045,0,0,0,34.6
48,2050,0,0,0,34.5
48,2055,0,0,0,34.8
48,2060,0,0,0,35.1
48,2065,0,0,0,35.4
48,2070,0,0,0,35.5
48,2075,0,0,0,35.7
48,2080,0,0,0,35.9
48,2085,0,0,0,36.4
48,2090,0,0,0,37.2
48,2095,0,0,0,38
50,2010,0,0,0,24.2
50,2015,0,0,0,25.3
50,2020,0,0,0,26.5
50,2025,0,0,0,27.7
50,2030,0,0,0,28.9
50,2035,0,0,0,30.3
50,2040,0,0,0,31.6
50,2045,0,0,0,32.5
