"isono","year","sexno","ageno","eduno","podr"
4,2010,0,0,0,0.043
4,2015,0,0,0,0.041
4,2020,0,0,0,0.041
4,2025,0,0,0,0.04
4,2030,0,0,0,0.041
4,2035,0,0,0,0.041
4,2040,0,0,0,0.043
4,2045,0,0,0,0.045
4,2050,0,0,0,0.049
4,2055,0,0,0,0.052
4,2060,0,0,0,0.058
4,2065,0,0,0,0.065
4,2070,0,0,0,0.072
4,2075,0,0,0,0.078
4,2080,0,0,0,0.084
4,2085,0,0,0,0.091
4,2090,0,0,0,0.099
4,2095,0,0,0,0.108
8,2010,0,0,0,0.078
8,2015,0,0,0,0.082
8,2020,0,0,0,0.084
8,2025,0,0,0,0.089
8,2030,0,0,0,0.104
8,2035,0,0,0,0.117
8,2040,0,0,0,0.126
8,2045,0,0,0,0.133
8,2050,0,0,0,0.138
8,2055,0,0,0,0.139
8,2060,0,0,0,0.152
8,2065,0,0,0,0.173
8,2070,0,0,0,0.192
8,2075,0,0,0,0.204
8,2080,0,0,0,0.212
8,2085,0,0,0,0.213
8,2090,0,0,0,0.206
8,2095,0,0,0,0.198
12,2010,0,0,0,0.045
12,2015,0,0,0,0.045
12,2020,0,0,0,0.05
12,2025,0,0,0,0.056
12,2030,0,0,0,0.065
12,2035,0,0,0,0.076
12,2040,0,0,0,0.088
12,2045,0,0,0,0.099
12,2050,0,0,0,0.111
12,2055,0,0,0,0.126
12,2060,0,0,0,0.14
12,2065,0,0,0,0.151
12,2070,0,0,0,0.155
12,2075,0,0,0,0.15
12,2080,0,0,0,0.147
12,2085,0,0,0,0.147
12,2090,0,0,0,0.151
12,2095,0,0,0,0.157
24,2010,0,0,0,0.036
24,2015,0,0,0,0.036
24,2020,0,0,0,0.037
24,2025,0,0,0,0.037
24,2030,0,0,0,0.039
24,2035,0,0,0,0.042
24,2040,0,0,0,0.045
24,2045,0,0,0,0.05
24,2050,0,0,0,0.054
24,2055,0,0,0,0.06
24,2060,0,0,0,0.068
24,2065,0,0,0,0.078
24,2070,0,0,0,0.09
24,2075,0,0,0,0.098
24,2080,0,0,0,0.106
24,2085,0,0,0,0.116
