"isono","year","sexno","ageno","eduno","ryl15"
4,2010,0,0,0,58.5
4,2015,0,0,0,58.9
4,2020,0,0,0,59.3
4,2025,0,0,0,59.8
4,2030,0,0,0,60.3
4,2035,0,0,0,60.8
4,2040,0,0,0,61.4
4,2045,0,0,0,61.9
4,2050,0,0,0,62.5
4,2055,0,0,0,63
4,2060,0,0,0,63.5
4,2065,0,0,0,64
4,2070,0,0,0,64.6
4,2075,0,0,0,65.1
4,2080,0,0,0,65.8
4,2085,0,0,0,66.5
4,2090,0,0,0,67.2
4,2095,0,0,0,67.8
8,2010,0,0,0,67.6
8,2015,0,0,0,68.5
8,2020,0,0,0,69.4
8,2025,0,0,0,70.3
8,2030,0,0,0,71.2
8,2035,0,0,0,72.1
8,2040,0,0,0,73
8,2045,0,0,0,73.8
8,2050,0,0,0,74.7
8,2055,0,0,0,75.6
8,2060,0,0,0,76.5
8,2065,0,0,0,77.3
8,2070,0,0,0,78.1
8,2075,0,0,0,78.9
8,2080,0,0,0,79.7
8,2085,0,0,0,80.5
8,2090,0,0,0,81.5
8,2095,0,0,0,82.5
12,2010,0,0,0,65.3
12,2015,0,0,0,66
12,2020,0,0,0,66.6
12,2025,0,0,0,67.4
12,2030,0,0,0,68.1
12,2035,0,0,0,68.8
12,2040,0,0,0,69.5
12,2045,0,0,0,70.4
12,2050,0,0,0,71.2
12,2055,0,0,0,72.1
12,2060,0,0,0,72.9
12,2065,0,0,0,73.7
12,2070,0,0,0,74.5
12,2075,0,0,0,75.4
12,2080,0,0,0,76.3
12,2085,0,0,0,77.2
12,2090,0,0,0,78.1
12,2095,0,0,0,78.9
24,2010,0,0,0,60.8
24,2015,0,0,0,61.4
24,2020,0,0,0,61.7
24,2025,0,0,0,62.2
24,2030,0,0,0,62.4
24,2035,0,0,0,62.6
24,2040,0,0,0,62.9
24,2045,0,0,0,63.1
24,2050,0,0,0,63.5
24,2055,0,0,0,64
24,2060,0,0,0,64.3
24,2065,0,0,0,64.6
24,2070,0,0,0,65
24,2075,0,0,0,65.5
24,2080,0,0,0,66.1
24,2085,0,0,0,66.6
24,2090,0,0,0,67.3
24,2095,0,0,0,68
31,2010,0,0,0,64.3
31,2015,0,0,0,64.9
31,2020,0,0,0,65.5
31,2025,0,0,0,66.1
31,2030,0,0,0,66.7
31,2035,0,0,0,67.2
31,2040,0,0,0,67.9
31,2045,0,0,0,68.6
31,2050,0,0,0,69.4
31,2055,0,0,0,70.2
31,2060,0,0,0,70.9
