"isono","year","sexno","ageno","eduno","ggapmys25"
4,1970,0,0,0,0
4,1975,0,0,0,0
4,1980,0,0,0,0
4,1985,0,0,0,0
4,1990,0,0,0,0
4,1995,0,0,0,0
4,2000,0,0,0,0
4,2005,0,0,0,0
4,2010,0,0,0,0
4,2015,0,0,0,0
4,2020,0,0,0,0
4,2025,0,0,0,0
4,2030,0,0,0,0
4,2035,0,0,0,0
4,2040,0,0,0,0
4,2045,0,0,0,0
4,2050,0,0,0,0
4,2055,0,0,0,0
4,2060,0,0,0,0
4,2065,0,0,0,0
4,2070,0,0,0,0
4,2075,0,0,0,0
4,2080,0,0,0,0
4,2085,0,0,0,0
4,2090,0,0,0,0
4,2095,0,0,0,0
4,2100,0,0,0,0
8,1970,0,0,0,2.51
8,1975,0,0,0,2.46
8,1980,0,0,0,2.45
8,1985,0,0,0,2.06
8,1990,0,0,0,1.77
8,1995,0,0,0,1.54
8,2000,0,0,0,1.23
8,2005,0,0,0,0.99
8,2010,0,0,0,0.69
8,2015,0,0,0,0.54
8,2020,0,0,0,0.4
8,2025,0,0,0,0.29
8,2030,0,0,0,0.18
8,2035,0,0,0,0.1
8,2040,0,0,0,0.03
8,2045,0,0,0,-0.02
8,2050,0,0,0,-0.04
8,2055,0,0,0,-0.05
8,2060,0,0,0,-0.05
8,2065,0,0,0,-0.04
8,2070,0,0,0,-0.03
8,2075,0,0,0,-0.03
8,2080,0,0,0,-0.04
8,2085,0,0,0,-0.05
8,2090,0,0,0,-0.05
8,2095,0,0,0,-0.06
8,2100,0,0,0,-0.06
12,1970,0,0,0,1.05
12,1975,0,0,0,1.55
12,1980,0,0,0,2.03
12,1985,0,0,0,2.43
12,1990,0,0,0,2.65
12,1995,0,0,0,2.76
12,2000,0,0,0,2.66
12,2005,0,0,0,2.36
12,2010,0,0,0,2.01
12,2015,0,0,0,1.76
12,2020,0,0,0,1.57
12,2025,0,0,0,1.41
12,2030,0,0,0,1.26
12,2035,0,0,0,1.1
12,2040,0,0,0,0.95
12,2045,0,0,0,0.81
12,2050,0,0,0,0.7
12,2055,0,0,0,0.61
12,2060,0,0,0,0.55
12,2065,0,0,0,0.52
12,2070,0,0,0,0.51
12,2075,0,0,0,0.51
12,2080,0,0,0,0.51
12,2085,0,0,0,0.51
12,2090,0,0,0,0.52
12,2095,0,0,0,0.52
12,2100,0,0,0,0.52
24,1970,0,0,0,0
24,1975,0,0,0,0
24,1980,0,0,0,0
24,1985,0,0,0,0
24,1990,0,0,0,0
24,1995,0,0,0,0
24,2000,0,0,0,0
24,2005,0,0,0,0
24,2010,0,0,0,0
24,2015,0,0,0,0
24,2020,0,0,0,0
24,2025,0,0,0,0
24,2030,0,0,0,0
24,2035,0,0,0,0
24,2040,0,0,0,0
24,2045,0,0,0,0
24,2050,0,0,0,0
24,2055,0,0,0,0
24,2060,0,0,0,0
24,2065,0,0,0,0
24,2070,0,0,0,0
24,2075,0,0,0,0
24,2080,0,0,0,0
24,2085,0,0,0,0
24,2090,0,0,0,0
