"isono","year","sexno","ageno","eduno","etfr"
4,2010,0,0,0,6.7
4,2010,0,0,2,9.36
4,2010,0,0,3,8.57
4,2010,0,0,4,7.12
4,2010,0,0,5,5.19
4,2010,0,0,6,3.79
4,2010,0,0,7,3.28
4,2010,2,0,0,6.7
4,2010,2,0,2,9.36
4,2010,2,0,3,8.57
4,2010,2,0,4,7.12
4,2010,2,0,5,5.19
4,2010,2,0,6,3.79
4,2010,2,0,7,3.28
8,2010,0,0,0,1.36
8,2010,0,0,2,1.7
8,2010,0,0,3,1.7
8,2010,0,0,4,1.7
8,2010,0,0,5,1.61
8,2010,0,0,6,1.18
8,2010,0,0,7,0.96
8,2010,2,0,0,1.36
8,2010,2,0,2,1.7
8,2010,2,0,3,1.7
8,2010,2,0,4,1.7
8,2010,2,0,5,1.61
8,2010,2,0,6,1.18
8,2010,2,0,7,0.96
12,2010,0,0,0,2.12
12,2010,0,0,2,2.66
12,2010,0,0,3,2.66
12,2010,0,0,4,2.66
12,2010,0,0,5,2.16
12,2010,0,0,6,1.82
12,2010,0,0,7,1.62
12,2010,2,0,0,2.12
12,2010,2,0,2,2.66
12,2010,2,0,3,2.66
12,2010,2,0,4,2.66
12,2010,2,0,5,2.16
12,2010,2,0,6,1.82
12,2010,2,0,7,1.62
24,2010,0,0,0,5.6
24,2010,0,0,2,6.84
24,2010,0,0,3,6.84
24,2010,0,0,4,5.51
24,2010,0,0,5,4.02
24,2010,0,0,6,2.74
24,2010,0,0,7,2.01
24,2010,2,0,0,5.6
24,2010,2,0,2,6.84
24,2010,2,0,3,6.84
24,2010,2,0,4,5.51
24,2010,2,0,5,4.02
24,2010,2,0,6,2.74
24,2010,2,0,7,2.01
31,2010,0,0,0,2.25
31,2010,0,0,2,2.54
31,2010,0,0,3,2.54
31,2010,0,0,4,2.54
31,2010,0,0,5,2.55
31,2010,0,0,6,2.21
31,2010,0,0,7,1.79
31,2010,2,0,0,2.25
31,2010,2,0,2,2.54
31,2010,2,0,3,2.54
31,2010,2,0,4,2.54
31,2010,2,0,5,2.55
31,2010,2,0,6,2.21
31,2010,2,0,7,1.79
32,2010,0,0,0,2.06
32,2010,0,0,2,2.59
32,2010,0,0,3,2.59
32,2010,0,0,4,2.59
32,2010,0,0,5,2.11
32,2010,0,0,6,1.78
32,2010,0,0,7,1.58
32,2010,2,0,0,2.06
32,2010,2,0,2,2.59
32,2010,2,0,3,2.59
32,2010,2,0,4,2.59
32,2010,2,0,5,2.11
32,2010,2,0,6,1.78
32,2010,2,0,7,1.58
36,2010,0,0,0,1.81
36,2010,0,0,2,2.26
36,2010,0,0,3,2.26
36,2010,0,0,4,2.26
36,2010,0,0,5,2.26
36,2010,0,0,6,1.84
36,2010,0,0,7,1.62
36,2010,2,0,0,1.81
36,2010,2,0,2,2.26
36,2010,2,0,3,2.26
36,2010,2,0,4,2.26
36,2010,2,0,5,2.26
36,2010,2,0,6,1.84
36,2010,2,0,7,1.62
40,2010,0,0,0,1.36
40,2010,0,0,2,1.6
40,2010,0,0,3,1.6
40,2010,0,0,4,1.6
40,2010,0,0,5,1.6
40,2010,0,0,6,1.29
40,2010,0,0,7,1.32
40,2010,2,0,0,1.36
40,2010,2,0,2,1.6
40,2010,2,0,3,1.6
40,2010,2,0,4,1.6
40,2010,2,0,5,1.6
40,2010,2,0,6,1.29
40,2010,2,0,7,1.32
44,2010,0,0,0,1.7
44,2010,0,0,2,2.3
44,2010,0,0,3,2.3
44,2010,0,0,4,2.3
44,2010,0,0,5,1.75
44,2010,0,0,6,1.47
44,2010,0,0,7,1.17
44,2010,2,0,0,1.7
44,2010,2,0,2,2.3
44,2010,2,0,3,2.3
44,2010,2,0,4,2.3
44,2010,2,0,5,1.75
44,2010,2,0,6,1.47
44,2010,2,0,7,1.17
48,2010,0,0,0,2.29
48,2010,0,0,2,4.87
48,2010,0,0,3,3.14
48,2010,0,0,4,2.93
48,2010,0,0,5,2.04
48,2010,0,0,6,2.06
48,2010,0,0,7,2.08
48,2010,2,0,0,2.29
48,2010,2,0,2,4.87
48,2010,2,0,3,3.14
48,2010,2,0,4,2.93
48,2010,2,0,5,2.04
48,2010,2,0,6,2.06
48,2010,2,0,7,2.08
50,2010,0,0,0,2.12
50,2010,0,0,2,2.37
50,2010,0,0,3,2.34
50,2010,0,0,4,2.16
50,2010,0,0,5,1.99
50,2010,0,0,6,1.74
50,2010,0,0,7,1.76
50,2010,2,0,0,2.12
50,2010,2,0,2,2.37
50,2010,2,0,3,2.34
50,2010,2,0,4,2.16
50,2010,2,0,5,1.99
50,2010,2,0,6,1.74
50,2010,2,0,7,1.76
51,2010,0,0,0,1.43
51,2010,0,0,2,1.67
51,2010,0,0,3,1.67
51,2010,0,0,4,1.67
51,2010,0,0,5,1.68
51,2010,0,0,6,1.47
51,2010,0,0,7,1.18
51,2010,2,0,0,1.43
51,2010,2,0,2,1.67
51,2010,2,0,3,1.67
51,2010,2,0,4,1.67
51,2010,2,0,5,1.68
51,2010,2,0,6,1.47
51,2010,2,0,7,1.18
52,2010,0,0,0,1.38
52,2010,0,0,2,1.81
52,2010,0,0,3,1.81
52,2010,0,0,4,1.81
52,2010,0,0,5,1.37
52,2010,0,0,6,1.15
52,2010,0,0,7,0.92
52,2010,2,0,0,1.38
52,2010,2,0,2,1.81
52,2010,2,0,3,1.81
52,2010,2,0,4,1.81
52,2010,2,0,5,1.37
52,2010,2,0,6,1.15
52,2010,2,0,7,0.92
56,2010,0,0,0,1.72
56,2010,0,0,2,1.73
56,2010,0,0,3,1.73
56,2010,0,0,4,1.73
56,2010,0,0,5,1.73
56,2010,0,0,6,1.66
56,2010,0,0,7,1.75
56,2010,2,0,0,1.72
56,2010,2,0,2,1.73
56,2010,2,0,3,1.73
56,2010,2,0,4,1.73
56,2010,2,0,5,1.73
56,2010,2,0,6,1.66
56,2010,2,0,7,1.75
64,2010,0,0,0,2.25
64,2010,0,0,2,2.58
64,2010,0,0,3,2.28
64,2010,0,0,4,2.15
64,2010,0,0,5,1.94
64,2010,0,0,6,1.7
64,2010,0,0,7,1.57
64,2010,2,0,0,2.25
64,2010,2,0,2,2.58
64,2010,2,0,3,2.28
64,2010,2,0,4,2.15
64,2010,2,0,5,1.94
64,2010,2,0,6,1.7
64,2010,2,0,7,1.57
68,2010,0,0,0,3.36
68,2010,0,0,2,5
68,2010,0,0,3,4.66
68,2010,0,0,4,3.92
68,2010,0,0,5,3.14
68,2010,0,0,6,2.4
68,2010,0,0,7,1.82
68,2010,2,0,0,3.36
68,2010,2,0,2,5
68,2010,2,0,3,4.66
68,2010,2,0,4,3.92
68,2010,2,0,5,3.14
68,2010,2,0,6,2.4
68,2010,2,0,7,1.82
70,2010,0,0,0,1.29
70,2010,0,0,2,1.72
70,2010,0,0,3,1.72
70,2010,0,0,4,1.72
70,2010,0,0,5,1.62
70,2010,0,0,6,1.2
70,2010,0,0,7,0.96
70,2010,2,0,0,1.29
70,2010,2,0,2,1.72
70,2010,2,0,3,1.72
70,2010,2,0,4,1.72
70,2010,2,0,5,1.62
70,2010,2,0,6,1.2
70,2010,2,0,7,0.96
72,2010,0,0,0,2.44
72,2010,0,0,2,3.66
72,2010,0,0,3,3.32
72,2010,0,0,4,2.92
72,2010,0,0,5,2.48
72,2010,0,0,6,2
72,2010,0,0,7,1.76
72,2010,2,0,0,2.44
72,2010,2,0,2,3.66
72,2010,2,0,3,3.32
