"isono","year","sexno","ageno","eduno","macb"
4,2010,2,0,2,27.3
72,2010,2,0,2,28.8
144,2010,2,0,2,29.6
175,2010,2,0,2,29.1
90,2010,2,0,2,28.3
96,2010,2,0,2,30
583,2010,2,0,2,29.4
478,2010,2,0,2,29.5
316,2010,2,0,2,27.3
408,2010,2,0,2,29
308,2010,2,0,2,28.1
52,2010,2,0,2,29.8
232,2010,2,0,2,29.8
434,2010,2,0,2,33.1
24,2010,2,0,2,26.1
242,2010,2,0,2,27.8
598,2010,2,0,2,28.4
860,2010,2,0,2,27.6
262,2010,2,0,2,30.7
512,2010,2,0,2,30.7
887,2010,2,0,2,28
850,2010,2,0,2,30
768,2010,2,0,2,28.3
830,2010,2,0,2,29.2
40,2010,2,0,2,31.1
70,2010,2,0,2,28.4
76,2010,2,0,2,25.9
108,2010,2,0,2,30
116,2010,2,0,2,28.5
231,2010,2,0,2,28.9
246,2010,2,0,2,31.5
250,2010,2,0,2,31.1
254,2010,2,0,2,26.8
276,2010,2,0,2,31.5
312,2010,2,0,2,29.2
352,2010,2,0,2,31.3
360,2010,2,0,2,28.7
392,2010,2,0,2,31
398,2010,2,0,2,26.9
410,2010,2,0,2,34.9
426,2010,2,0,2,26.1
450,2010,2,0,2,26.7
454,2010,2,0,2,27.9
470,2010,2,0,2,27.7
474,2010,2,0,2,27.7
484,2010,2,0,2,27.3
533,2010,2,0,2,28.9
540,2010,2,0,2,29.7
548,2010,2,0,2,28.7
566,2010,2,0,2,28.5
578,2010,2,0,2,31.5
591,2010,2,0,2,26.6
626,2010,2,0,2,30.6
634,2010,2,0,2,30.4
638,2010,2,0,2,27.7
678,2010,2,0,2,27.4
702,2010,2,0,2,30.3
704,2010,2,0,2,27.4
736,2010,2,0,2,28.8
752,2010,2,0,2,31.8
762,2010,2,0,2,27.3
788,2010,2,0,2,33.3
807,2010,2,0,2,28.5
8,2010,2,0,2,26.8
12,2010,2,0,2,31.6
31,2010,2,0,2,24.2
32,2010,2,0,2,27.2
