"isono","year","sexno","ageno","eduno","asfr"
4,1970,0,4,0,NA
4,1970,0,5,0,NA
4,1970,0,6,0,NA
4,1970,0,7,0,NA
4,1970,0,8,0,NA
4,1970,0,9,0,NA
4,1970,0,10,0,NA
4,1975,0,4,0,NA
4,1975,0,5,0,NA
4,1975,0,6,0,NA
4,1975,0,7,0,NA
4,1975,0,8,0,NA
4,1975,0,9,0,NA
4,1975,0,10,0,NA
8,1970,0,4,0,NA
8,1970,0,5,0,NA
8,1970,0,6,0,NA
8,1970,0,7,0,NA
8,1970,0,8,0,NA
8,1970,0,9,0,NA
8,1970,0,10,0,NA
8,1975,0,4,0,NA
8,1975,0,5,0,NA
8,1975,0,6,0,NA
8,1975,0,7,0,NA
8,1975,0,8,0,NA
8,1975,0,9,0,NA
8,1975,0,10,0,NA
12,1970,0,4,0,NA
12,1970,0,5,0,NA
12,1970,0,6,0,NA
12,1970,0,7,0,NA
12,1970,0,8,0,NA
12,1970,0,9,0,NA
12,1970,0,10,0,NA
12,1975,0,4,0,NA
12,1975,0,5,0,NA
12,1975,0,6,0,NA
12,1975,0,7,0,NA
12,1975,0,8,0,NA
12,1975,0,9,0,NA
12,1975,0,10,0,NA
24,1970,0,4,0,NA
24,1970,0,5,0,NA
24,1970,0,6,0,NA
24,1970,0,7,0,NA
24,1970,0,8,0,NA
24,1970,0,9,0,NA
24,1970,0,10,0,NA
24,1975,0,4,0,NA
24,1975,0,5,0,NA
24,1975,0,6,0,NA
24,1975,0,7,0,NA
24,1975,0,8,0,NA
24,1975,0,9,0,NA
24,1975,0,10,0,NA
31,1970,0,4,0,NA
31,1970,0,5,0,NA
31,1970,0,6,0,NA
31,1970,0,7,0,NA
31,1970,0,8,0,NA
31,1970,0,9,0,NA
31,1970,0,10,0,NA
31,1975,0,4,0,NA
31,1975,0,5,0,NA
31,1975,0,6,0,NA
31,1975,0,7,0,NA
31,1975,0,8,0,NA
31,1975,0,9,0,NA
31,1975,0,10,0,NA
32,1970,0,4,0,NA
32,1970,0,5,0,NA
32,1970,0,6,0,NA
32,1970,0,7,0,NA
32,1970,0,8,0,NA
32,1970,0,9,0,NA
32,1970,0,10,0,NA
32,1975,0,4,0,NA
32,1975,0,5,0,NA
32,1975,0,6,0,NA
32,1975,0,7,0,NA
32,1975,0,8,0,NA
32,1975,0,9,0,NA
32,1975,0,10,0,NA
36,1970,0,4,0,NA
36,1970,0,5,0,NA
36,1970,0,6,0,NA
36,1970,0,7,0,NA
36,1970,0,8,0,NA
36,1970,0,9,0,NA
36,1970,0,10,0,NA
36,1975,0,4,0,NA
36,1975,0,5,0,NA
36,1975,0,6,0,NA
36,1975,0,7,0,NA
36,1975,0,8,0,NA
36,1975,0,9,0,NA
36,1975,0,10,0,NA
40,1970,0,4,0,NA
40,1970,0,5,0,NA
40,1970,0,6,0,NA
40,1970,0,7,0,NA
40,1970,0,8,0,NA
40,1970,0,9,0,NA
40,1970,0,10,0,NA
40,1975,0,4,0,NA
40,1975,0,5,0,NA
40,1975,0,6,0,NA
40,1975,0,7,0,NA
40,1975,0,8,0,NA
40,1975,0,9,0,NA
40,1975,0,10,0,NA
44,1970,0,4,0,NA
44,1970,0,5,0,NA
44,1970,0,6,0,NA
44,1970,0,7,0,NA
44,1970,0,8,0,NA
44,1970,0,9,0,NA
44,1970,0,10,0,NA
44,1975,0,4,0,NA
44,1975,0,5,0,NA
44,1975,0,6,0,NA
44,1975,0,7,0,NA
44,1975,0,8,0,NA
44,1975,0,9,0,NA
44,1975,0,10,0,NA
48,1970,0,4,0,NA
48,1970,0,5,0,NA
48,1970,0,6,0,NA
48,1970,0,7,0,NA
48,1970,0,8,0,NA
48,1970,0,9,0,NA
48,1970,0,10,0,NA
48,1975,0,4,0,NA
48,1975,0,5,0,NA
48,1975,0,6,0,NA
48,1975,0,7,0,NA
48,1975,0,8,0,NA
48,1975,0,9,0,NA
48,1975,0,10,0,NA
50,1970,0,4,0,NA
50,1970,0,5,0,NA
50,1970,0,6,0,NA
50,1970,0,7,0,NA
50,1970,0,8,0,NA
50,1970,0,9,0,NA
50,1970,0,10,0,NA
50,1975,0,4,0,NA
50,1975,0,5,0,NA
50,1975,0,6,0,NA
50,1975,0,7,0,NA
50,1975,0,8,0,NA
50,1975,0,9,0,NA
50,1975,0,10,0,NA
