"isono","year","sexno","ageno","eduno","ggapedu25"
4,1970,0,0,0,NA
4,1970,0,0,1,NA
4,1970,0,0,2,0.74
4,1970,0,0,3,2.16
4,1970,0,0,4,2.24
4,1970,0,0,5,2.66
4,1970,0,0,6,3.51
4,1970,0,0,7,4.67
4,1975,0,0,0,NA
4,1975,0,0,1,NA
4,1975,0,0,2,0.71
4,1975,0,0,3,2.02
4,1975,0,0,4,2.11
4,1975,0,0,5,2.61
4,1975,0,0,6,3.25
4,1975,0,0,7,4.13
4,1980,0,0,0,NA
4,1980,0,0,1,NA
4,1980,0,0,2,0.69
4,1980,0,0,3,1.88
4,1980,0,0,4,1.96
4,1980,0,0,5,2.52
4,1980,0,0,6,2.96
4,1980,0,0,7,3.72
4,1985,0,0,0,NA
4,1985,0,0,1,NA
4,1985,0,0,2,0.67
4,1985,0,0,3,1.75
4,1985,0,0,4,1.83
4,1985,0,0,5,2.38
4,1985,0,0,6,2.67
4,1985,0,0,7,3.31
4,1990,0,0,0,NA
4,1990,0,0,1,NA
4,1990,0,0,2,0.66
4,1990,0,0,3,1.61
4,1990,0,0,4,1.69
4,1990,0,0,5,2.26
4,1990,0,0,6,2.44
4,1990,0,0,7,3.01
4,1995,0,0,0,NA
4,1995,0,0,1,NA
4,1995,0,0,2,0.64
4,1995,0,0,3,1.48
4,1995,0,0,4,1.56
4,1995,0,0,5,2.12
4,1995,0,0,6,2.29
4,1995,0,0,7,2.73
4,2000,0,0,0,NA
4,2000,0,0,1,NA
4,2000,0,0,2,0.63
4,2000,0,0,3,1.36
4,2000,0,0,4,1.45
4,2000,0,0,5,1.94
4,2000,0,0,6,2.09
4,2000,0,0,7,2.4
4,2005,0,0,0,NA
4,2005,0,0,1,NA
4,2005,0,0,2,0.62
4,2005,0,0,3,1.27
4,2005,0,0,4,1.35
4,2005,0,0,5,1.76
4,2005,0,0,6,1.83
4,2005,0,0,7,2.12
4,2010,0,0,0,NA
4,2010,0,0,1,NA
4,2010,0,0,2,0.62
4,2010,0,0,3,1.17
4,2010,0,0,4,1.24
4,2010,0,0,5,1.58
4,2010,0,0,6,1.65
4,2010,0,0,7,1.89
4,2015,0,0,0,NA
4,2015,0,0,1,NA
4,2015,0,0,2,0.62
4,2015,0,0,3,1.12
4,2015,0,0,4,1.2
4,2015,0,0,5,1.52
4,2015,0,0,6,1.57
4,2015,0,0,7,1.8
4,2020,0,0,0,NA
4,2020,0,0,1,NA
4,2020,0,0,2,0.62
4,2020,0,0,3,1.2
4,2020,0,0,4,1.08
4,2020,0,0,5,1.4
4,2020,0,0,6,1.56
4,2020,0,0,7,1.83
4,2025,0,0,0,NA
4,2025,0,0,1,NA
4,2025,0,0,2,0.62
4,2025,0,0,3,1.22
4,2025,0,0,4,1.02
4,2025,0,0,5,1.33
4,2025,0,0,6,1.53
4,2025,0,0,7,1.81
4,2030,0,0,0,NA
4,2030,0,0,1,NA
4,2030,0,0,2,0.63
4,2030,0,0,3,1.24
4,2030,0,0,4,0.99
4,2030,0,0,5,1.28
4,2030,0,0,6,1.51
4,2030,0,0,7,1.8
4,2035,0,0,0,NA
4,2035,0,0,1,NA
4,2035,0,0,2,0.63
4,2035,0,0,3,1.26
4,2035,0,0,4,0.96
4,2035,0,0,5,1.25
4,2035,0,0,6,1.5
4,2035,0,0,7,1.79
4,2040,0,0,0,NA
4,2040,0,0,1,NA
4,2040,0,0,2,0.64
4,2040,0,0,3,1.28
4,2040,0,0,4,0.94
4,2040,0,0,5,1.23
4,2040,0,0,6,1.49
4,2040,0,0,7,1.78
4,2045,0,0,0,NA
4,2045,0,0,1,NA
4,2045,0,0,2,0.64
4,2045,0,0,3,1.3
4,2045,0,0,4,0.92
4,2045,0,0,5,1.21
4,2045,0,0,6,1.48
4,2045,0,0,7,1.77
4,2050,0,0,0,NA
4,2050,0,0,1,NA
4,2050,0,0,2,0.64
4,2050,0,0,3,1.31
4,2050,0,0,4,0.91
4,2050,0,0,5,1.2
4,2050,0,0,6,1.48
4,2050,0,0,7,1.77
4,2055,0,0,0,NA
4,2055,0,0,1,NA
4,2055,0,0,2,0.64
4,2055,0,0,3,1.33
4,2055,0,0,4,0.9
4,2055,0,0,5,1.19
4,2055,0,0,6,1.47
4,2055,0,0,7,1.77
4,2060,0,0,0,NA
4,2060,0,0,1,NA
4,2060,0,0,2,0.64
4,2060,0,0,3,1.33
4,2060,0,0,4,0.89
4,2060,0,0,5,1.18
4,2060,0,0,6,1.47
4,2060,0,0,7,1.77
4,2065,0,0,0,NA
4,2065,0,0,1,NA
4,2065,0,0,2,0.64
4,2065,0,0,3,1.34
4,2065,0,0,4,0.89
4,2065,0,0,5,1.17
4,2065,0,0,6,1.47
4,2065,0,0,7,1.77
4,2070,0,0,0,NA
4,2070,0,0,1,NA
4,2070,0,0,2,0.63
4,2070,0,0,3,1.34
4,2070,0,0,4,0.88
4,2070,0,0,5,1.17
4,2070,0,0,6,1.46
4,2070,0,0,7,1.76
4,2075,0,0,0,NA
4,2075,0,0,1,NA
4,2075,0,0,2,0.63
4,2075,0,0,3,1.33
4,2075,0,0,4,0.88
4,2075,0,0,5,1.16
4,2075,0,0,6,1.46
4,2075,0,0,7,1.76
4,2080,0,0,0,NA
4,2080,0,0,1,NA
4,2080,0,0,2,0.63
4,2080,0,0,3,1.33
4,2080,0,0,4,0.87
4,2080,0,0,5,1.16
4,2080,0,0,6,1.45
4,2080,0,0,7,1.75
4,2085,0,0,0,NA
4,2085,0,0,1,NA
4,2085,0,0,2,0.62
4,2085,0,0,3,1.32
4,2085,0,0,4,0.87
4,2085,0,0,5,1.15
4,2085,0,0,6,1.44
4,2085,0,0,7,1.74
4,2090,0,0,0,NA
4,2090,0,0,1,NA
4,2090,0,0,2,0.61
4,2090,0,0,3,1.31
4,2090,0,0,4,0.86
4,2090,0,0,5,1.14
4,2090,0,0,6,1.43
4,2090,0,0,7,1.73
4,2095,0,0,0,NA
4,2095,0,0,1,NA
4,2095,0,0,2,0.61
4,2095,0,0,3,1.3
4,2095,0,0,4,0.86
4,2095,0,0,5,1.14
4,2095,0,0,6,1.43
4,2095,0,0,7,1.72
4,2100,0,0,0,NA
4,2100,0,0,1,NA
4,2100,0,0,2,0.6
4,2100,0,0,3,1.29
4,2100,0,0,4,0.85
4,2100,0,0,5,1.13
4,2100,0,0,6,1.42
4,2100,0,0,7,1.71
8,1970,0,0,0,NA
8,1970,0,0,1,NA
8,1970,0,0,2,0.59
8,1970,0,0,3,0.93
8,1970,0,0,4,1.13
8,1970,0,0,5,1.33
8,1970,0,0,6,2.52
8,1970,0,0,7,3.59
8,1975,0,0,0,NA
8,1975,0,0,1,NA
8,1975,0,0,2,0.56
8,1975,0,0,3,0.91
8,1975,0,0,4,0.99
8,1975,0,0,5,1.13
8,1975,0,0,6,2.14
8,1975,0,0,7,3.31
8,1980,0,0,0,NA
8,1980,0,0,1,NA
8,1980,0,0,2,0.51
8,1980,0,0,3,0.99
8,1980,0,0,4,0.97
8,1980,0,0,5,1.14
8,1980,0,0,6,1.81
8,1980,0,0,7,2.86
8,1985,0,0,0,NA
8,1985,0,0,1,NA
8,1985,0,0,2,0.48
8,1985,0,0,3,0.92
8,1985,0,0,4,0.91
8,1985,0,0,5,1.05
8,1985,0,0,6,1.51
8,1985,0,0,7,2.64
8,1990,0,0,0,NA
8,1990,0,0,1,NA
8,1990,0,0,2,0.44
8,1990,0,0,3,0.89
8,1990,0,0,4,0.89
8,1990,0,0,5,1
8,1990,0,0,6,1.4
8,1990,0,0,7,2.16
8,1995,0,0,0,NA
8,1995,0,0,1,NA
8,1995,0,0,2,0.41
8,1995,0,0,3,0.84
8,1995,0,0,4,0.85
8,1995,0,0,5,0.95
8,1995,0,0,6,1.28
8,1995,0,0,7,1.92
8,2000,0,0,0,NA
8,2000,0,0,1,NA
8,2000,0,0,2,0.4
8,2000,0,0,3,0.89
8,2000,0,0,4,0.83
8,2000,0,0,5,0.92
8,2000,0,0,6,1.18
8,2000,0,0,7,1.7
8,2005,0,0,0,NA
8,2005,0,0,1,NA
8,2005,0,0,2,0.37
8,2005,0,0,3,0.78
8,2005,0,0,4,0.8
8,2005,0,0,5,0.91
8,2005,0,0,6,1.1
8,2005,0,0,7,1.5
8,2010,0,0,0,NA
8,2010,0,0,1,NA
8,2010,0,0,2,0.39
8,2010,0,0,3,0.78
8,2010,0,0,4,0.75
8,2010,0,0,5,0.93
8,2010,0,0,6,1.04
8,2010,0,0,7,1.29
8,2015,0,0,0,NA
8,2015,0,0,1,NA
8,2015,0,0,2,0.46
8,2015,0,0,3,0.74
8,2015,0,0,4,0.74
8,2015,0,0,5,0.92
8,2015,0,0,6,1.04
8,2015,0,0,7,1.24
