"isono","year","sexno","ageno","eduno","odr"
4,1970,0,0,0,0.04
4,1975,0,0,0,0.04
4,1980,0,0,0,0.04
4,1985,0,0,0,0.04
4,1990,0,0,0,0.04
4,1995,0,0,0,0.04
4,2000,0,0,0,0.04
4,2005,0,0,0,0.04
4,2010,0,0,0,0.04
4,2015,0,0,0,0.04
4,2020,0,0,0,0.04
4,2025,0,0,0,0.04
4,2030,0,0,0,0.05
4,2035,0,0,0,0.05
4,2040,0,0,0,0.05
4,2045,0,0,0,0.05
4,2050,0,0,0,0.06
4,2055,0,0,0,0.06
4,2060,0,0,0,0.07
4,2065,0,0,0,0.08
4,2070,0,0,0,0.09
4,2075,0,0,0,0.1
4,2080,0,0,0,0.11
4,2085,0,0,0,0.12
4,2090,0,0,0,0.14
4,2095,0,0,0,0.16
4,2100,0,0,0,0.18
8,1970,0,0,0,0.08
8,1975,0,0,0,0.08
8,1980,0,0,0,0.09
8,1985,0,0,0,0.08
8,1990,0,0,0,0.09
8,1995,0,0,0,0.1
8,2000,0,0,0,0.12
8,2005,0,0,0,0.13
8,2010,0,0,0,0.14
8,2015,0,0,0,0.15
8,2020,0,0,0,0.17
8,2025,0,0,0,0.22
8,2030,0,0,0,0.26
8,2035,0,0,0,0.29
8,2040,0,0,0,0.32
8,2045,0,0,0,0.35
8,2050,0,0,0,0.41
8,2055,0,0,0,0.5
8,2060,0,0,0,0.58
8,2065,0,0,0,0.65
8,2070,0,0,0,0.7
8,2075,0,0,0,0.73
8,2080,0,0,0,0.75
8,2085,0,0,0,0.77
8,2090,0,0,0,0.8
8,2095,0,0,0,0.83
8,2100,0,0,0,0.85
12,1970,0,0,0,0.09
12,1975,0,0,0,0.09
12,1980,0,0,0,0.08
12,1985,0,0,0,0.06
12,1990,0,0,0,0.07
12,1995,0,0,0,0.07
12,2000,0,0,0,0.07
12,2005,0,0,0,0.07
12,2010,0,0,0,0.07
12,2015,0,0,0,0.07
12,2020,0,0,0,0.09
12,2025,0,0,0,0.1
12,2030,0,0,0,0.13
12,2035,0,0,0,0.16
12,2040,0,0,0,0.19
12,2045,0,0,0,0.23
12,2050,0,0,0,0.29
12,2055,0,0,0,0.34
12,2060,0,0,0,0.37
12,2065,0,0,0,0.38
12,2070,0,0,0,0.38
12,2075,0,0,0,0.4
12,2080,0,0,0,0.43
12,2085,0,0,0,0.45
12,2090,0,0,0,0.48
12,2095,0,0,0,0.5
12,2100,0,0,0,0.52
24,1970,0,0,0,0.05
24,1975,0,0,0,0.05
24,1980,0,0,0,0.05
24,1985,0,0,0,0.05
24,1990,0,0,0,0.05
24,1995,0,0,0,0.05
24,2000,0,0,0,0.05
24,2005,0,0,0,0.05
24,2010,0,0,0,0.05
24,2015,0,0,0,0.05
24,2020,0,0,0,0.05
24,2025,0,0,0,0.05
24,2030,0,0,0,0.05
24,2035,0,0,0,0.05
24,2040,0,0,0,0.06
24,2045,0,0,0,0.06
24,2050,0,0,0,0.07
24,2055,0,0,0,0.08
24,2060,0,0,0,0.09
24,2065,0,0,0,0.1
24,2070,0,0,0,0.12
24,2075,0,0,0,0.13
24,2080,0,0,0,0.15
24,2085,0,0,0,0.17
24,2090,0,0,0,0.19
24,2095,0,0,0,0.21
24,2100,0,0,0,0.23
31,1970,0,0,0,0.11
31,1975,0,0,0,0.1
31,1980,0,0,0,0.09
31,1985,0,0,0,0.06
31,1990,0,0,0,0.07
31,1995,0,0,0,0.08
31,2000,0,0,0,0.09
31,2005,0,0,0,0.1
31,2010,0,0,0,0.09
31,2015,0,0,0,0.09
31,2020,0,0,0,0.11
31,2025,0,0,0,0.14
31,2030,0,0,0,0.19
31,2035,0,0,0,0.21
31,2040,0,0,0,0.22
31,2045,0,0,0,0.24
31,2050,0,0,0,0.27
31,2055,0,0,0,0.33
31,2060,0,0,0,0.38
31,2065,0,0,0,0.37
31,2070,0,0,0,0.36
31,2075,0,0,0,0.4
31,2080,0,0,0,0.47
31,2085,0,0,0,0.52
31,2090,0,0,0,0.55
31,2095,0,0,0,0.56
31,2100,0,0,0,0.57
32,1970,0,0,0,0.11
32,1975,0,0,0,0.12
32,1980,0,0,0,0.13
32,1985,0,0,0,0.12
32,1990,0,0,0,0.15
32,1995,0,0,0,0.15
32,2000,0,0,0,0.16
32,2005,0,0,0,0.16
32,2010,0,0,0,0.16
32,2015,0,0,0,0.17
32,2020,0,0,0,0.19
32,2025,0,0,0,0.2
32,2030,0,0,0,0.21
32,2035,0,0,0,0.23
32,2040,0,0,0,0.25
32,2045,0,0,0,0.29
32,2050,0,0,0,0.32
32,2055,0,0,0,0.35
32,2060,0,0,0,0.38
32,2065,0,0,0,0.41
32,2070,0,0,0,0.44
32,2075,0,0,0,0.46
32,2080,0,0,0,0.49
32,2085,0,0,0,0.52
32,2090,0,0,0,0.55
32,2095,0,0,0,0.58
32,2100,0,0,0,0.61
36,1970,0,0,0,0.13
36,1975,0,0,0,0.14
36,1980,0,0,0,0.15
36,1985,0,0,0,0.13
36,1990,0,0,0,0.17
36,1995,0,0,0,0.18
36,2000,0,0,0,0.19
36,2005,0,0,0,0.19
36,2010,0,0,0,0.2
36,2015,0,0,0,0.23
36,2020,0,0,0,0.25
36,2025,0,0,0,0.28
36,2030,0,0,0,0.31
36,2035,0,0,0,0.33
36,2040,0,0,0,0.36
36,2045,0,0,0,0.37
36,2050,0,0,0,0.39
36,2055,0,0,0,0.42
36,2060,0,0,0,0.45
36,2065,0,0,0,0.47
36,2070,0,0,0,0.49
36,2075,0,0,0,0.52
36,2080,0,0,0,0.55
