"isono","year","sexno","ageno","eduno","e0"
4,2010,1,0,0,49.2
4,2015,1,0,0,52.2
4,2020,1,0,0,54.6
4,2025,1,0,0,57
4,2030,1,0,0,59.2
4,2035,1,0,0,61.2
4,2040,1,0,0,63.1
4,2045,1,0,0,64.6
4,2050,1,0,0,66.1
4,2055,1,0,0,67.4
4,2060,1,0,0,68.5
4,2065,1,0,0,69.5
4,2070,1,0,0,70.4
4,2075,1,0,0,71.3
4,2080,1,0,0,72
4,2085,1,0,0,72.8
4,2090,1,0,0,73.6
4,2095,1,0,0,74.3
4,2010,2,0,0,49.6
4,2015,2,0,0,52.5
4,2020,2,0,0,54.9
4,2025,2,0,0,57.5
4,2030,2,0,0,59.7
4,2035,2,0,0,61.8
4,2040,2,0,0,63.9
4,2045,2,0,0,65.7
4,2050,2,0,0,67.4
4,2055,2,0,0,69
4,2060,2,0,0,70.4
4,2065,2,0,0,71.7
4,2070,2,0,0,72.8
4,2075,2,0,0,73.9
4,2080,2,0,0,74.8
4,2085,2,0,0,75.7
4,2090,2,0,0,76.5
4,2095,2,0,0,77.3
4,2010,0,0,0,49.4
4,2015,0,0,0,52.3
4,2020,0,0,0,54.8
4,2025,0,0,0,57.2
4,2030,0,0,0,59.4
4,2035,0,0,0,61.5
4,2040,0,0,0,63.5
4,2045,0,0,0,65.1
4,2050,0,0,0,66.7
4,2055,0,0,0,68.2
4,2060,0,0,0,69.4
4,2065,0,0,0,70.5
4,2070,0,0,0,71.6
4,2075,0,0,0,72.5
4,2080,0,0,0,73.4
4,2085,0,0,0,74.2
4,2090,0,0,0,75
4,2095,0,0,0,75.7
8,2010,1,0,0,74.6
8,2015,1,0,0,75.7
8,2020,1,0,0,76.8
8,2025,1,0,0,77.9
8,2030,1,0,0,79
8,2035,1,0,0,80.1
8,2040,1,0,0,81.2
8,2045,1,0,0,82.3
8,2050,1,0,0,83.4
8,2055,1,0,0,84.5
8,2060,1,0,0,85.6
8,2065,1,0,0,86.7
8,2070,1,0,0,87.7
8,2075,1,0,0,88.8
8,2080,1,0,0,89.8
