"isono","year","sexno","ageno","eduno","nirate"
4,1970,0,0,0,24.2
4,1975,0,0,0,26
4,1980,0,0,0,27.7
4,1985,0,0,0,29.5
4,1990,0,0,0,31.2
4,1995,0,0,0,32.3
4,2000,0,0,0,30.1
4,2005,0,0,0,28.3
8,1970,0,0,0,23.3
8,1975,0,0,0,21.8
8,1980,0,0,0,20.7
8,1985,0,0,0,19.8
8,1990,0,0,0,17.1
8,1995,0,0,0,12.9
8,2000,0,0,0,9.2
8,2005,0,0,0,7
12,1970,0,0,0,32.6
12,1975,0,0,0,32
12,1980,0,0,0,31.3
12,1985,0,0,0,27.6
12,1990,0,0,0,22.7
12,1995,0,0,0,16.2
12,2000,0,0,0,15.7
12,2005,0,0,0,15.9
24,1970,0,0,0,25.5
24,1975,0,0,0,27.7
24,1980,0,0,0,28.6
24,1985,0,0,0,29.3
24,1990,0,0,0,29
24,1995,0,0,0,29.9
24,2000,0,0,0,31.4
24,2005,0,0,0,28.2
31,1970,0,0,0,19.5
31,1975,0,0,0,18.3
31,1980,0,0,0,19.2
31,1985,0,0,0,20
31,1990,0,0,0,17.9
31,1995,0,0,0,11.9
31,2000,0,0,0,10.2
31,2005,0,0,0,12.3
32,1970,0,0,0,14.4
32,1975,0,0,0,16.8
32,1980,0,0,0,14.7
32,1985,0,0,0,13.8
32,1990,0,0,0,13.1
32,1995,0,0,0,11.8
32,2000,0,0,0,10.2
32,2005,0,0,0,9.8
36,1970,0,0,0,11
36,1975,0,0,0,8.3
36,1980,0,0,0,8
36,1985,0,0,0,7.5
36,1990,0,0,0,7.4
36,1995,0,0,0,6.2
36,2000,0,0,0,5.8
36,2005,0,0,0,6.9
40,1970,0,0,0,0.8
40,1975,0,0,0,-0.9
40,1980,0,0,0,-0.2
40,1985,0,0,0,0
40,1990,0,0,0,0.8
40,1995,0,0,0,0.1
40,2000,0,0,0,0.2
40,2005,0,0,0,0
44,1970,0,0,0,20.8
44,1975,0,0,0,18.7
44,1980,0,0,0,21.1
44,1985,0,0,0,18.3
44,1990,0,0,0,17.4
44,1995,0,0,0,14.3
44,2000,0,0,0,9.9
44,2005,0,0,0,10.3
48,1970,0,0,0,28.6
48,1975,0,0,0,28.1
48,1980,0,0,0,28.8
48,1985,0,0,0,27.7
48,1990,0,0,0,23.1
48,1995,0,0,0,19.9
48,2000,0,0,0,18.1
48,2005,0,0,0,18
50,1970,0,0,0,19.6
50,1975,0,0,0,29.5
50,1980,0,0,0,29.1
50,1985,0,0,0,26.9
50,1990,0,0,0,23.8
50,1995,0,0,0,21.1
50,2000,0,0,0,18.5
50,2005,0,0,0,15.2
51,1970,0,0,0,17.1
51,1975,0,0,0,17.1
51,1980,0,0,0,18
51,1985,0,0,0,15.9
51,1990,0,0,0,10.5
51,1995,0,0,0,4.9
51,2000,0,0,0,5.9
51,2005,0,0,0,6.6
52,1970,0,0,0,11.8
52,1975,0,0,0,9.3
52,1980,0,0,0,8.8
52,1985,0,0,0,8.2
52,1990,0,0,0,7.3
52,1995,0,0,0,4.5
52,2000,0,0,0,2.2
52,2005,0,0,0,2.1
56,1970,0,0,0,1.8
56,1975,0,0,0,0.8
56,1980,0,0,0,0.6
56,1985,0,0,0,1.2
56,1990,0,0,0,0.9
56,1995,0,0,0,0.7
56,2000,0,0,0,0.8
56,2005,0,0,0,1.9
64,1970,0,0,0,25.1
64,1975,0,0,0,26.2
64,1980,0,0,0,25.6
64,1985,0,0,0,25.3
64,1990,0,0,0,22.7
64,1995,0,0,0,19.3
64,2000,0,0,0,17.2
64,2005,0,0,0,14.4
68,1970,0,0,0,26.1
68,1975,0,0,0,24.8
68,1980,0,0,0,24.9
68,1985,0,0,0,25.4
68,1990,0,0,0,25.8
68,1995,0,0,0,23.7
68,2000,0,0,0,22.2
68,2005,0,0,0,19.9
70,1970,0,0,0,14.4
70,1975,0,0,0,13.1
70,1980,0,0,0,11.4
70,1985,0,0,0,10
70,1990,0,0,0,2.6
70,1995,0,0,0,4.5
70,2000,0,0,0,1.4
70,2005,0,0,0,-0.6
72,1970,0,0,0,33.4
72,1975,0,0,0,35.1
72,1980,0,0,0,34.1
72,1985,0,0,0,30.2
72,1990,0,0,0,25
72,1995,0,0,0,17.7
72,2000,0,0,0,10.6
72,2005,0,0,0,11.6
76,1970,0,0,0,23.8
76,1975,0,0,0,23.5
76,1980,0,0,0,22.6
76,1985,0,0,0,18.9
76,1990,0,0,0,15.8
76,1995,0,0,0,15.1
76,2000,0,0,0,13.4
76,2005,0,0,0,9.9
84,1970,0,0,0,35
84,1975,0,0,0,36.6
84,1980,0,0,0,34.7
84,1985,0,0,0,32.8
84,1990,0,0,0,31.2
84,1995,0,0,0,27.3
84,2000,0,0,0,23.6
84,2005,0,0,0,21.4
90,1970,0,0,0,34.3
90,1975,0,0,0,34.3
90,1980,0,0,0,31.8
90,1985,0,0,0,29.4
90,1990,0,0,0,28.7
90,1995,0,0,0,27.7
90,2000,0,0,0,27.8
90,2005,0,0,0,27.1
96,1970,0,0,0,31.1
96,1975,0,0,0,29.2
96,1980,0,0,0,25.6
96,1985,0,0,0,25.9
96,1990,0,0,0,24.6
96,1995,0,0,0,20.7
96,2000,0,0,0,18.9
96,2005,0,0,0,17
100,1970,0,0,0,6.5
100,1975,0,0,0,5.3
100,1980,0,0,0,2.6
100,1985,0,0,0,1
100,1990,0,0,0,-2.6
100,1995,0,0,0,-5.9
100,2000,0,0,0,-5.7
100,2005,0,0,0,-5.1
104,1970,0,0,0,24.2
104,1975,0,0,0,21.4
104,1980,0,0,0,19.2
104,1985,0,0,0,17.4
104,1990,0,0,0,14.7
104,1995,0,0,0,13
104,2000,0,0,0,10.4
104,2005,0,0,0,9.1
108,1970,0,0,0,23.8
108,1975,0,0,0,25.9
108,1980,0,0,0,27.8
108,1985,0,0,0,28.9
108,1990,0,0,0,25.2
108,1995,0,0,0,22.1
108,2000,0,0,0,19.9
108,2005,0,0,0,19.5
112,1970,0,0,0,8.1
112,1975,0,0,0,6.7
112,1980,0,0,0,6.7
112,1985,0,0,0,5.8
112,1990,0,0,0,0.3
112,1995,0,0,0,-4.3
112,2000,0,0,0,-5.1
112,2005,0,0,0,-3.7
116,1970,0,0,0,17.4
116,1975,0,0,0,-6.6
116,1980,0,0,0,39.2
116,1985,0,0,0,33.5
116,1990,0,0,0,28.6
116,1995,0,0,0,20.1
116,2000,0,0,0,15.9
116,2005,0,0,0,15.1
120,1970,0,0,0,26.8
120,1975,0,0,0,28.6
120,1980,0,0,0,29.7
120,1985,0,0,0,28.9
120,1990,0,0,0,27
120,1995,0,0,0,23.5
120,2000,0,0,0,22.7
120,2005,0,0,0,22.2
124,1970,0,0,0,8.3
124,1975,0,0,0,8.2
124,1980,0,0,0,7.9
124,1985,0,0,0,7.2
124,1990,0,0,0,6.7
124,1995,0,0,0,4.2
124,2000,0,0,0,3.4
124,2005,0,0,0,3.8
132,1970,0,0,0,27.7
132,1975,0,0,0,30
132,1980,0,0,0,31
132,1985,0,0,0,31.7
132,1990,0,0,0,28.6
132,1995,0,0,0,24.9
132,2000,0,0,0,20.5
132,2005,0,0,0,16.7
140,1970,0,0,0,21.7
140,1975,0,0,0,24
140,1980,0,0,0,25.5
140,1985,0,0,0,25.1
140,1990,0,0,0,22.7
140,1995,0,0,0,20.6
140,2000,0,0,0,18.7
140,2005,0,0,0,18
144,1970,0,0,0,21.3
144,1975,0,0,0,20.9
144,1980,0,0,0,19.5
144,1985,0,0,0,15.1
144,1990,0,0,0,12.9
144,1995,0,0,0,9.9
144,2000,0,0,0,12.4
144,2005,0,0,0,12.5
148,1970,0,0,0,26.1
148,1975,0,0,0,28.4
148,1980,0,0,0,30
148,1985,0,0,0,30.8
148,1990,0,0,0,30.7
148,1995,0,0,0,30.3
148,2000,0,0,0,29.9
148,2005,0,0,0,28.9
152,1970,0,0,0,18.4
152,1975,0,0,0,15.6
152,1980,0,0,0,17
152,1985,0,0,0,17.7
152,1990,0,0,0,16.4
152,1995,0,0,0,12.7
152,2000,0,0,0,10.7
152,2005,0,0,0,9.4
156,1970,0,0,0,23.5
156,1975,0,0,0,14.4
156,1980,0,0,0,14.4
156,1985,0,0,0,16.1
156,1990,0,0,0,11.8
156,1995,0,0,0,9
156,2000,0,0,0,6.3
156,2005,0,0,0,5.4
170,1970,0,0,0,25.7
170,1975,0,0,0,25.1
170,1980,0,0,0,23.7
170,1985,0,0,0,21.8
170,1990,0,0,0,20.1
170,1995,0,0,0,18.2
170,2000,0,0,0,16.4
170,2005,0,0,0,15.1
174,1970,0,0,0,29.8
174,1975,0,0,0,32.3
174,1980,0,0,0,34.4
174,1985,0,0,0,27.5
174,1990,0,0,0,25.6
174,1995,0,0,0,28
174,2000,0,0,0,30
174,2005,0,0,0,29.5
175,1970,0,0,0,39.1
175,1975,0,0,0,42.8
175,1980,0,0,0,38.4
175,1985,0,0,0,37.8
175,1990,0,0,0,30.4
175,1995,0,0,0,31
175,2000,0,0,0,31.3
175,2005,0,0,0,31.4
178,1970,0,0,0,29.4
178,1975,0,0,0,29.9
178,1980,0,0,0,28.9
178,1985,0,0,0,27.4
178,1990,0,0,0,25.6
178,1995,0,0,0,25.1
178,2000,0,0,0,24.6
178,2005,0,0,0,24.3
180,1970,0,0,0,27.7
180,1975,0,0,0,28.6
180,1980,0,0,0,30.1
180,1985,0,0,0,31.4
180,1990,0,0,0,32.1
180,1995,0,0,0,30.1
180,2000,0,0,0,30
180,2005,0,0,0,27.8
188,1970,0,0,0,23.6
188,1975,0,0,0,24.4
188,1980,0,0,0,25.2
188,1985,0,0,0,24.5
188,1990,0,0,0,20.6
188,1995,0,0,0,17.5
188,2000,0,0,0,14.9
188,2005,0,0,0,12.2
191,1970,0,0,0,4.5
191,1975,0,0,0,4.8
191,1980,0,0,0,3.1
191,1985,0,0,0,1.7
191,1990,0,0,0,0
191,1995,0,0,0,-0.2
191,2000,0,0,0,-2.3
191,2005,0,0,0,-2.2
192,1970,0,0,0,20.1
192,1975,0,0,0,11.5
192,1980,0,0,0,10.3
192,1985,0,0,0,11
192,1990,0,0,0,8.3
192,1995,0,0,0,6.5
192,2000,0,0,0,5.2
192,2005,0,0,0,3.4
196,1970,0,0,0,10.5
196,1975,0,0,0,11
196,1980,0,0,0,13.2
196,1985,0,0,0,12.4
196,1990,0,0,0,11.2
196,1995,0,0,0,7.7
196,2000,0,0,0,5.6
196,2005,0,0,0,5
203,1970,0,0,0,4.8
203,1975,0,0,0,5.1
203,1980,0,0,0,1.1
203,1985,0,0,0,0.5
203,1990,0,0,0,-0.2
203,1995,0,0,0,-2.2
203,2000,0,0,0,-1.5
203,2005,0,0,0,0.6
204,1970,0,0,0,23.7
204,1975,0,0,0,26.4
204,1980,0,0,0,27.9
204,1985,0,0,0,28.8
204,1990,0,0,0,29.7
204,1995,0,0,0,29.5
204,2000,0,0,0,28.7
204,2005,0,0,0,28.3
208,1970,0,0,0,4.3
208,1975,0,0,0,1.9
208,1980,0,0,0,-0.7
208,1985,0,0,0,-0.2
208,1990,0,0,0,1
208,1995,0,0,0,1.2
208,2000,0,0,0,1.2
208,2005,0,0,0,1.5
214,1970,0,0,0,29.3
214,1975,0,0,0,26.9
214,1980,0,0,0,25.8
214,1985,0,0,0,24.2
214,1990,0,0,0,22.5
214,1995,0,0,0,19.7
214,2000,0,0,0,18.4
214,2005,0,0,0,16.7
218,1970,0,0,0,29
218,1975,0,0,0,28.3
218,1980,0,0,0,26.6
218,1985,0,0,0,24.2
218,1990,0,0,0,21.7
218,1995,0,0,0,20.4
218,2000,0,0,0,18.6
218,2005,0,0,0,16.6
222,1970,0,0,0,29.7
222,1975,0,0,0,27.8
222,1980,0,0,0,24.6
222,1985,0,0,0,24.3
222,1990,0,0,0,23.7
222,1995,0,0,0,20.9
222,2000,0,0,0,15.5
222,2005,0,0,0,14.2
226,1970,0,0,0,13.1
226,1975,0,0,0,10.8
226,1980,0,0,0,20.3
226,1985,0,0,0,26.9
226,1990,0,0,0,26.3
226,1995,0,0,0,24
226,2000,0,0,0,22.1
226,2005,0,0,0,22.2
231,1970,0,0,0,26.2
231,1975,0,0,0,26.4
231,1980,0,0,0,26.4
231,1985,0,0,0,29
231,1990,0,0,0,30.1
231,1995,0,0,0,28.7
231,2000,0,0,0,25.8
231,2005,0,0,0,22.9
232,1970,0,0,0,26.3
232,1975,0,0,0,26.2
232,1980,0,0,0,21.9
232,1985,0,0,0,23.9
232,1990,0,0,0,25.9
232,1995,0,0,0,27
232,2000,0,0,0,28.9
232,2005,0,0,0,29.3
233,1970,0,0,0,4.4
233,1975,0,0,0,3
233,1980,0,0,0,3.1
233,1985,0,0,0,3.5
233,1990,0,0,0,-2.5
233,1995,0,0,0,-4.8
233,2000,0,0,0,-3.8
233,2005,0,0,0,-0.7
242,1970,0,0,0,25
242,1975,0,0,0,26.2
242,1980,0,0,0,26.1
242,1985,0,0,0,23.2
242,1990,0,0,0,22.1
242,1995,0,0,0,19.7
242,2000,0,0,0,17.8
242,2005,0,0,0,15.9
246,1970,0,0,0,3.5
246,1975,0,0,0,4.4
246,1980,0,0,0,4.1
246,1985,0,0,0,2.8
246,1990,0,0,0,3.1
246,1995,0,0,0,1.8
246,2000,0,0,0,1.4
246,2005,0,0,0,1.8
250,1970,0,0,0,5.4
250,1975,0,0,0,3.5
250,1980,0,0,0,4.1
250,1985,0,0,0,4.1
250,1990,0,0,0,3.5
250,1995,0,0,0,3.5
250,2000,0,0,0,3.9
250,2005,0,0,0,4.2
254,1970,0,0,0,22.2
254,1975,0,0,0,18.4
254,1980,0,0,0,22.9
254,1985,0,0,0,25.1
254,1990,0,0,0,27.2
254,1995,0,0,0,25.6
254,2000,0,0,0,24.1
254,2005,0,0,0,21.4
258,1970,0,0,0,27.8
258,1975,0,0,0,24.3
258,1980,0,0,0,24.3
258,1985,0,0,0,24.3
258,1990,0,0,0,20.4
258,1995,0,0,0,16.4
258,2000,0,0,0,14.3
258,2005,0,0,0,12.4
262,1970,0,0,0,28.4
262,1975,0,0,0,27.8
262,1980,0,0,0,28.6
262,1985,0,0,0,28.6
262,1990,0,0,0,26.7
262,1995,0,0,0,22.2
262,2000,0,0,0,19.9
262,2005,0,0,0,18.9
266,1970,0,0,0,16.3
266,1975,0,0,0,21
266,1980,0,0,0,24.7
266,1985,0,0,0,26.8
266,1990,0,0,0,27.4
266,1995,0,0,0,23
266,2000,0,0,0,19.3
266,2005,0,0,0,18
268,1970,0,0,0,11
268,1975,0,0,0,9.8
268,1980,0,0,0,9.1
268,1985,0,0,0,8.8
268,1990,0,0,0,5.8
268,1995,0,0,0,2.7
268,2000,0,0,0,1.7
268,2005,0,0,0,1.1
270,1970,0,0,0,28.1
270,1975,0,0,0,32.6
270,1980,0,0,0,34.1
270,1985,0,0,0,34.4
270,1990,0,0,0,33.4
270,1995,0,0,0,32.6
270,2000,0,0,0,31.5
270,2005,0,0,0,29.5
275,1970,0,0,0,37.6
275,1975,0,0,0,38.4
275,1980,0,0,0,38
275,1985,0,0,0,37.6
275,1990,0,0,0,41
275,1995,0,0,0,36.7
275,2000,0,0,0,32.4
275,2005,0,0,0,30.2
276,1970,0,0,0,-1
276,1975,0,0,0,-1.8
276,1980,0,0,0,-1.3
276,1985,0,0,0,-0.5
276,1990,0,0,0,-1.2
276,1995,0,0,0,-1
276,2000,0,0,0,-1.4
276,2005,0,0,0,-1.9
288,1970,0,0,0,30.2
288,1975,0,0,0,30
288,1980,0,0,0,29.3
288,1985,0,0,0,28.2
288,1990,0,0,0,27.2
288,1995,0,0,0,24.6
288,2000,0,0,0,24.1
288,2005,0,0,0,24.4
300,1970,0,0,0,7.3
300,1975,0,0,0,6.8
300,1980,0,0,0,4.7
300,1985,0,0,0,1.4
300,1990,0,0,0,0.8
300,1995,0,0,0,0.3
300,2000,0,0,0,0.1
300,2005,0,0,0,0.4
308,1970,0,0,0,20.4
308,1975,0,0,0,20.5
308,1980,0,0,0,23.1
308,1985,0,0,0,22.6
308,1990,0,0,0,17
308,1995,0,0,0,13.6
